age,Average Time (seconds),Variation
74.0,197.58260869565217,Test
74.5,159.65740740740742,Test
75.0,194.55454545454546,Test
75.5,236.14583333333334,Test
76.0,162.85714285714286,Test
76.5,209.95652173913044,Test
77.0,179.78947368421052,Test
77.5,148.56626506024097,Test
78.0,171.94736842105263,Test
78.5,171.2,Test
79.0,237.34782608695653,Test
79.5,152.25,Test
80.0,155.70909090909092,Test
80.5,189.35294117647058,Test
81.0,259.71875,Test
81.5,138.11627906976744,Test
82.0,176.33333333333334,Test
82.5,79.46511627906976,Test
83.0,230.97560975609755,Test
83.5,123.6,Test
84.0,150.925,Test
84.5,176.27272727272728,Test
85.0,141.5,Test
85.5,211.95454545454547,Test
86.0,210.0,Test
86.5,355.55555555555554,Test
87.0,271.1111111111111,Test
87.5,101.81818181818181,Test
88.0,106.625,Test
88.5,198.33333333333334,Test
89.0,140.88888888888889,Test
89.5,214.75,Test
90.0,103.625,Test
90.5,186.25,Test
91.0,351.5,Test
91.5,418.25,Test
92.0,444.5,Test
92.5,416.0,Test
93.0,209.0,Test
94.0,99.0,Test
94.5,191.0,Test
95.5,323.0,Test
96.0,375.0,Test
17.0,144.0,Control
17.5,203.3235294117647,Control
18.0,98.87272727272727,Control
18.5,184.83673469387756,Control
19.0,112.66071428571429,Control
19.5,210.2876712328767,Control
20.0,148.54166666666666,Control
20.5,208.35294117647058,Control
21.0,124.0,Control
21.5,218.6216216216216,Control
22.0,119.47972972972973,Control
22.5,211.6484375,Control
23.0,137.94871794871796,Control
23.5,221.91237113402062,Control
24.0,109.5891472868217,Control
24.5,227.82773109243698,Control
25.0,117.35849056603773,Control
25.5,221.8896797153025,Control
26.0,113.29432624113475,Control
26.5,203.26839826839827,Control
27.0,101.64353312302839,Control
27.5,188.88704318936877,Control
28.0,130.00311526479751,Control
28.5,214.48056537102474,Control
29.0,128.07395498392282,Control
29.5,222.65637065637065,Control
30.0,119.20241691842901,Control
30.5,227.06802721088437,Control
31.0,118.11271676300578,Control
31.5,221.4087591240876,Control
32.0,136.31699346405227,Control
32.5,228.13422818791946,Control
33.0,115.44055944055944,Control
33.5,232.8658536585366,Control
34.0,110.77272727272727,Control
34.5,214.56275303643724,Control
35.0,109.97297297297297,Control
35.5,211.45634920634922,Control
36.0,123.53198653198653,Control
36.5,213.50731707317073,Control
37.0,139.4878048780488,Control
37.5,210.3405172413793,Control
38.0,130.62867647058823,Control
38.5,230.82673267326732,Control
39.0,145.35021097046413,Control
39.5,227.95217391304348,Control
40.0,120.29756097560976,Control
40.5,219.70506912442397,Control
41.0,143.60995850622407,Control
41.5,245.0857142857143,Control
42.0,136.76651982378854,Control
42.5,240.48648648648648,Control
43.0,132.4840182648402,Control
43.5,249.72289156626505,Control
44.0,134.5808580858086,Control
44.5,239.9641434262948,Control
45.0,132.3986013986014,Control
45.5,258.4724770642202,Control
46.0,144.46360153256705,Control
46.442240133722414,329.0,Control
46.5,260.9873949579832,Control
